"","#SHP-CRUISE","YEAR","MON","DAY","TIMEgmt","TIMEloc","LATITUDE","LONGITDE","UPPER_Z","LOWER_Z","T","GEAR","MESH","NMFS_PGC","ITIS_TSN","MOD","LIF","PSC","SEX","V","Water Strained","Original-VALUE","Orig-UNITS","VALUE-per-volu","UNITS","F1","F2","F3","F4","VALUE-per-area","UNITS__1","F1__1","F2__1","F3__1","F4__1","SCIENTIFIC NAME -[ modifiers ]-","RECORD-ID","DATASET-ID","SHIP","PROJ","INST","X__1","X__2","X__3","X__4","YY","MM","M","DD","D","Date","NPerVol"
"1","18HB-990218","1999","2","18","7","-99","70.075000000000003","42.911999999999999","0","0","-","127","168","2160000","4676","0","0","0","0",0.0001,"null","100","#/m3","1E-4","#/ml","-6","-2","1","-1","null","-----","-1","-1","-1","-1","Amphiprora hyperborea -[ ]-","0001_0001","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Amphiprora hyperborea","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.1
"2","18HB-990218","1999","2","18","7","-99","70.075000000000003","42.911999999999999","0","0","-","127","168","2160000","2546","2","0","0","0",0.00005,"null","50","#/m3","5.0000000000000002E-5","#/ml","-4","1","1","-1","null","-----","-1","-1","-1","-1","Coscinodiscus spp. -[ ]-","0001_0003","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Coscinodiscus spp.","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.0840896415253715
"3","18HB-990218","1999","2","18","7","-99","70.075000000000003","42.911999999999999","0","0","-","127","168","2160000","2572","0","0","0","0",0.00005,"null","50","#/m3","5.0000000000000002E-5","#/ml","-6","-2","1","-1","null","-----","-1","-1","-1","-1","Coscinodiscus curvatalus -[ ]-","0001_0002","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Coscinodiscus curvatalus","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.0840896415253715
"4","18HB-990218","1999","2","18","7","-99","70.075000000000003","42.911999999999999","0","0","-","127","168","2160000","2439","2","0","0","0",0.00005,"null","50","#/m3","5.0000000000000002E-5","#/ml","-4","1","1","-1","null","-----","-1","-1","-1","-1","Cyclotella spp. -[ ]-","0001_0004","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Cyclotella spp.","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.0840896415253715
"5","18HB-990218","1999","2","18","7","-99","70.075000000000003","42.911999999999999","0","0","-","127","168","2160000","3649","2","0","0","0",0.00005,"null","50","#/m3","5.0000000000000002E-5","#/ml","-4","1","1","-1","null","-----","-1","-1","-1","-1","Navicula spp. -[ ]-","0001_0006","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Navicula spp.","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.0840896415253715
"6","18HB-990218","1999","2","18","7","-99","70.075000000000003","42.911999999999999","0","0","-","127","168","2160000","5078","0","0","0","0",0.0001,"null","100","#/m3","1E-4","#/ml","-6","-2","1","-1","null","-----","-1","-1","-1","-1","Nitzschia frigida -[ ]-","0001_0007","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Nitzschia frigida","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.1
"7","18HB-990218","1999","2","18","9.5","-99","70.075999999999993","44.603000000000002","0","0","-","127","168","2160000","2572","0","0","0","0",0.00008,"null","80","#/m3","8.0000000000000007E-5","#/ml","-6","-2","1","-1","null","-----","-1","-1","-1","-1","Coscinodiscus curvatalus -[ ]-","0002_0001","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Coscinodiscus curvatalus","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.0945741609003176
"8","18HB-990218","1999","2","18","9.5","-99","70.075999999999993","44.603000000000002","0","0","-","127","168","2160000","2930","2","0","0","0",0.00004,"null","40","#/m3","4.0000000000000003E-5","#/ml","-4","1","1","-1","null","-----","-1","-1","-1","-1","Pennales spp. -[ ]-","0002_0002","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Pennales spp.","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.0795270728767051
"9","18HB-990218","1999","2","18","9.5","-99","70.075999999999993","44.603000000000002","0","0","-","127","168","2160000","3209","0","0","0","0",0.00004,"null","40","#/m3","4.0000000000000003E-5","#/ml","-6","-2","1","-1","null","-----","-1","-1","-1","-1","Rhabdonema arcuatum -[ ]-","0002_0003","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Rhabdonema arcuatum","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.0795270728767051
"10","18HB-990218","1999","2","18","16.5","-99","70.078999999999994","46.206000000000003","0","0","-","127","168","2160000","2546","2","0","0","0",0.00007,"null","70","#/m3","6.9999999999999994E-5","#/ml","-4","1","1","-1","null","-----","-1","-1","-1","-1","Coscinodiscus spp. -[ ]-","0003_0001","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Coscinodiscus spp.","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.0914691219228694
"11","18HB-990218","1999","2","18","16.5","-99","70.078999999999994","46.206000000000003","0","0","-","127","168","2160000","2439","2","0","0","0",0.00007,"null","70","#/m3","6.9999999999999994E-5","#/ml","-4","1","1","-1","null","-----","-1","-1","-1","-1","Cyclotella spp. -[ ]-","0003_0002","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Cyclotella spp.","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.0914691219228694
"12","18HB-990218","1999","2","18","16.5","-99","70.078999999999994","46.206000000000003","0","0","-","127","168","2160000","3649","2","0","0","0",0.00007,"null","70","#/m3","6.9999999999999994E-5","#/ml","-4","1","1","-1","null","-----","-1","-1","-1","-1","Navicula spp. -[ ]-","0003_0003","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Navicula spp.","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.0914691219228694
"13","18HB-990218","1999","2","18","16.5","-99","70.078999999999994","46.206000000000003","0","0","-","127","168","2160000","2346","0","0","0","0",0.00035,"null","350","#/m3","3.5E-4","#/ml","-6","-2","1","-1","null","-----","-1","-1","-1","-1","Paralia sulcata -[ ]-","0003_0004","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Paralia sulcata","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.136778239986738
"14","18HB-990218","1999","2","18","16.5","-99","70.078999999999994","46.206000000000003","0","0","-","127","168","2160000","2930","2","0","0","0",0.00021,"null","210","#/m3","2.1000000000000001E-4","#/ml","-4","1","1","-1","null","-----","-1","-1","-1","-1","Pennales spp. -[ ]-","0003_0005","Biological Atlas of the Arctic Seas 2000","7573","null","898","90039920","5A","Pennales spp.","-[ ]-",1999,2,"02",18,"18","1999-02-18",0.120380134350272
